bps_kode_provinsi;bps_nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;tahun;bulan;tingkat_inflasi_bulan_ke_bulan;satuan
11;Aceh;1171;Banda Aceh;2014;Januari;1.85;Persen
11;Aceh;1171;Banda Aceh;2014;Februari;-0.45;Persen
11;Aceh;1171;Banda Aceh;2014;Maret;-0.52;Persen
11;Aceh;1171;Banda Aceh;2014;April;-0.15;Persen
11;Aceh;1171;Banda Aceh;2014;Mei;0.86;Persen
11;Aceh;1171;Banda Aceh;2014;Juni;0.40;Persen
11;Aceh;1171;Banda Aceh;2014;Juli;1.23;Persen
11;Aceh;1171;Banda Aceh;2014;Agustus;0.06;Persen
11;Aceh;1171;Banda Aceh;2014;September;0.47;Persen
11;Aceh;1171;Banda Aceh;2014;Oktober;0.38;Persen
11;Aceh;1171;Banda Aceh;2014;November;1.28;Persen
11;Aceh;1171;Banda Aceh;2014;Desember;2.19;Persen
11;Aceh;1174;Lhokseumawe;2014;Januari;2.42;Persen
11;Aceh;1174;Lhokseumawe;2014;Februari;-0.88;Persen
11;Aceh;1174;Lhokseumawe;2014;Maret;-0.77;Persen
11;Aceh;1174;Lhokseumawe;2014;April;-0.01;Persen
11;Aceh;1174;Lhokseumawe;2014;Mei;1.16;Persen
11;Aceh;1174;Lhokseumawe;2014;Juni;0.17;Persen
11;Aceh;1174;Lhokseumawe;2014;Juli;1.34;Persen
11;Aceh;1174;Lhokseumawe;2014;Agustus;0.27;Persen
11;Aceh;1174;Lhokseumawe;2014;September;0.50;Persen
11;Aceh;1174;Lhokseumawe;2014;Oktober;0.53;Persen
11;Aceh;1174;Lhokseumawe;2014;November;1.60;Persen
11;Aceh;1174;Lhokseumawe;2014;Desember;1.95;Persen
11;Aceh;1107;Meulaboh;2014;Januari;2.67;Persen
11;Aceh;1107;Meulaboh;2014;Februari;-1.28;Persen
11;Aceh;1107;Meulaboh;2014;Maret;-0.73;Persen
11;Aceh;1107;Meulaboh;2014;April;-0.06;Persen
11;Aceh;1107;Meulaboh;2014;Mei;0.42;Persen
11;Aceh;1107;Meulaboh;2014;Juni;0.20;Persen
11;Aceh;1107;Meulaboh;2014;Juli;2.41;Persen
11;Aceh;1107;Meulaboh;2014;Agustus;0.68;Persen
11;Aceh;1107;Meulaboh;2014;September;0.58;Persen
11;Aceh;1107;Meulaboh;2014;Oktober;0.82;Persen
11;Aceh;1107;Meulaboh;2014;November;01.08;Persen
11;Aceh;1107;Meulaboh;2014;Desember;1.17;Persen
11;Aceh;1171;Banda Aceh;2015;Januari;0.10;Persen
11;Aceh;1171;Banda Aceh;2015;Februari;-0.90;Persen
11;Aceh;1171;Banda Aceh;2015;Maret;-0.61;Persen
11;Aceh;1171;Banda Aceh;2015;April;0.08;Persen
11;Aceh;1171;Banda Aceh;2015;Mei;0.51;Persen
11;Aceh;1171;Banda Aceh;2015;Juni;1.20;Persen
11;Aceh;1171;Banda Aceh;2015;Juli;0.61;Persen
11;Aceh;1171;Banda Aceh;2015;Agustus;-0.22;Persen
11;Aceh;1171;Banda Aceh;2015;September;-0.36;Persen
11;Aceh;1171;Banda Aceh;2015;Oktober;0.10;Persen
11;Aceh;1171;Banda Aceh;2015;November;0.23;Persen
11;Aceh;1171;Banda Aceh;2015;Desember;0.54;Persen
11;Aceh;1174;Lhokseumawe;2015;Januari;0.44;Persen
11;Aceh;1174;Lhokseumawe;2015;Februari;-2.07;Persen
11;Aceh;1174;Lhokseumawe;2015;Maret;-0.50;Persen
11;Aceh;1174;Lhokseumawe;2015;April;0.79;Persen
11;Aceh;1174;Lhokseumawe;2015;Mei;0.37;Persen
11;Aceh;1174;Lhokseumawe;2015;Juni;01.03;Persen
11;Aceh;1174;Lhokseumawe;2015;Juli;0.30;Persen
11;Aceh;1174;Lhokseumawe;2015;Agustus;-0.15;Persen
11;Aceh;1174;Lhokseumawe;2015;September;0.22;Persen
11;Aceh;1174;Lhokseumawe;2015;Oktober;0.36;Persen
11;Aceh;1174;Lhokseumawe;2015;November;0.34;Persen
11;Aceh;1174;Lhokseumawe;2015;Desember;1.31;Persen
11;Aceh;1107;Meulaboh;2015;Januari;-0.12;Persen
11;Aceh;1107;Meulaboh;2015;Februari;-0.97;Persen
11;Aceh;1107;Meulaboh;2015;Maret;-0.64;Persen
11;Aceh;1107;Meulaboh;2015;April;0.08;Persen
11;Aceh;1107;Meulaboh;2015;Mei;0.67;Persen
11;Aceh;1107;Meulaboh;2015;Juni;0.57;Persen
11;Aceh;1107;Meulaboh;2015;Juli;0.84;Persen
11;Aceh;1107;Meulaboh;2015;Agustus;-0.63;Persen
11;Aceh;1107;Meulaboh;2015;September;-0.22;Persen
11;Aceh;1107;Meulaboh;2015;Oktober;0.05;Persen
11;Aceh;1107;Meulaboh;2015;November;0.28;Persen
11;Aceh;1107;Meulaboh;2015;Desember;0.49;Persen
11;Aceh;1171;Banda Aceh;2016;Januari;0.61;Persen
11;Aceh;1171;Banda Aceh;2016;Februari;0.02;Persen
11;Aceh;1171;Banda Aceh;2016;Maret;-0.26;Persen
11;Aceh;1171;Banda Aceh;2016;April;-1.09;Persen
11;Aceh;1171;Banda Aceh;2016;Mei;0.73;Persen
11;Aceh;1171;Banda Aceh;2016;Juni;1.10;Persen
11;Aceh;1171;Banda Aceh;2016;Juli;0.73;Persen
11;Aceh;1171;Banda Aceh;2016;Agustus;-0.35;Persen
11;Aceh;1171;Banda Aceh;2016;September;0.78;Persen
11;Aceh;1171;Banda Aceh;2016;Oktober;-0.02;Persen
11;Aceh;1171;Banda Aceh;2016;November;0.15;Persen
11;Aceh;1171;Banda Aceh;2016;Desember;0.71;Persen
11;Aceh;1174;Lhokseumawe;2016;Januari;0.29;Persen
11;Aceh;1174;Lhokseumawe;2016;Februari;-0.13;Persen
11;Aceh;1174;Lhokseumawe;2016;Maret;-0.19;Persen
11;Aceh;1174;Lhokseumawe;2016;April;-0.39;Persen
11;Aceh;1174;Lhokseumawe;2016;Mei;0.25;Persen
11;Aceh;1174;Lhokseumawe;2016;Juni;0.79;Persen
11;Aceh;1174;Lhokseumawe;2016;Juli;0.15;Persen
11;Aceh;1174;Lhokseumawe;2016;Agustus;0.49;Persen
11;Aceh;1174;Lhokseumawe;2016;September;1.44;Persen
11;Aceh;1174;Lhokseumawe;2016;Oktober;0.22;Persen
11;Aceh;1174;Lhokseumawe;2016;November;0.33;Persen
11;Aceh;1174;Lhokseumawe;2016;Desember;2.25;Persen
11;Aceh;1107;Meulaboh;2016;Januari;0.46;Persen
11;Aceh;1107;Meulaboh;2016;Februari;0.37;Persen
11;Aceh;1107;Meulaboh;2016;Maret;-0.07;Persen
11;Aceh;1107;Meulaboh;2016;April;-0.14;Persen
11;Aceh;1107;Meulaboh;2016;Mei;0.39;Persen
11;Aceh;1107;Meulaboh;2016;Juni;0.16;Persen
11;Aceh;1107;Meulaboh;2016;Juli;0.41;Persen
11;Aceh;1107;Meulaboh;2016;Agustus;0.52;Persen
11;Aceh;1107;Meulaboh;2016;September;0.83;Persen
11;Aceh;1107;Meulaboh;2016;Oktober;0.32;Persen
11;Aceh;1107;Meulaboh;2016;November;0.15;Persen
11;Aceh;1107;Meulaboh;2016;Desember;0.31;Persen
11;Aceh;1171;Banda Aceh;2017;Januari;0.28;Persen
11;Aceh;1171;Banda Aceh;2017;Februari;0.19;Persen
11;Aceh;1171;Banda Aceh;2017;Maret;-0.15;Persen
11;Aceh;1171;Banda Aceh;2017;April;-0.10;Persen
11;Aceh;1171;Banda Aceh;2017;Mei;0.86;Persen
11;Aceh;1171;Banda Aceh;2017;Juni;0.81;Persen
11;Aceh;1171;Banda Aceh;2017;Juli;0.32;Persen
11;Aceh;1171;Banda Aceh;2017;Agustus;0.42;Persen
11;Aceh;1171;Banda Aceh;2017;September;0.62;Persen
11;Aceh;1171;Banda Aceh;2017;Oktober;0.17;Persen
11;Aceh;1171;Banda Aceh;2017;November;0.30;Persen
11;Aceh;1171;Banda Aceh;2017;Desember;01.06;Persen
11;Aceh;1174;Lhokseumawe;2017;Januari;0.26;Persen
11;Aceh;1174;Lhokseumawe;2017;Februari;-0.79;Persen
11;Aceh;1174;Lhokseumawe;2017;Maret;-1.40;Persen
11;Aceh;1174;Lhokseumawe;2017;April;-0.68;Persen
11;Aceh;1174;Lhokseumawe;2017;Mei;0.90;Persen
11;Aceh;1174;Lhokseumawe;2017;Juni;0.90;Persen
11;Aceh;1174;Lhokseumawe;2017;Juli;0.34;Persen
11;Aceh;1174;Lhokseumawe;2017;Agustus;01.09;Persen
11;Aceh;1174;Lhokseumawe;2017;September;0.16;Persen
11;Aceh;1174;Lhokseumawe;2017;Oktober;0.10;Persen
11;Aceh;1174;Lhokseumawe;2017;November;0.31;Persen
11;Aceh;1174;Lhokseumawe;2017;Desember;1.69;Persen
11;Aceh;1107;Meulaboh;2017;Januari;1.34;Persen
11;Aceh;1107;Meulaboh;2017;Februari;0.41;Persen
11;Aceh;1107;Meulaboh;2017;Maret;-0.06;Persen
11;Aceh;1107;Meulaboh;2017;April;-0.52;Persen
11;Aceh;1107;Meulaboh;2017;Mei;0.06;Persen
11;Aceh;1107;Meulaboh;2017;Juni;0.48;Persen
11;Aceh;1107;Meulaboh;2017;Juli;0.01;Persen
11;Aceh;1107;Meulaboh;2017;Agustus;0.24;Persen
11;Aceh;1107;Meulaboh;2017;September;0.37;Persen
11;Aceh;1107;Meulaboh;2017;Oktober;0.28;Persen
11;Aceh;1107;Meulaboh;2017;November;0.88;Persen
11;Aceh;1107;Meulaboh;2017;Desember;1.18;Persen
11;Aceh;1171;Banda Aceh;2018;Januari;-0.33;Persen
11;Aceh;1171;Banda Aceh;2018;Februari;-0.21;Persen
11;Aceh;1171;Banda Aceh;2018;Maret;-0.08;Persen
11;Aceh;1171;Banda Aceh;2018;April;-0.10;Persen
11;Aceh;1171;Banda Aceh;2018;Mei;0.72;Persen
11;Aceh;1171;Banda Aceh;2018;Juni;0.84;Persen
11;Aceh;1171;Banda Aceh;2018;Juli;0.08;Persen
11;Aceh;1171;Banda Aceh;2018;Agustus;0.50;Persen
11;Aceh;1171;Banda Aceh;2018;September;-0.75;Persen
11;Aceh;1171;Banda Aceh;2018;Oktober;0.32;Persen
11;Aceh;1171;Banda Aceh;2018;November;0.92;Persen
11;Aceh;1171;Banda Aceh;2018;Desember;0.02;Persen
11;Aceh;1174;Lhokseumawe;2018;Januari;0.32;Persen
11;Aceh;1174;Lhokseumawe;2018;Februari;-0.53;Persen
11;Aceh;1174;Lhokseumawe;2018;Maret;-0.25;Persen
11;Aceh;1174;Lhokseumawe;2018;April;-0.45;Persen
11;Aceh;1174;Lhokseumawe;2018;Mei;0.69;Persen
11;Aceh;1174;Lhokseumawe;2018;Juni;1.10;Persen
11;Aceh;1174;Lhokseumawe;2018;Juli;0.34;Persen
11;Aceh;1174;Lhokseumawe;2018;Agustus;-0.17;Persen
11;Aceh;1174;Lhokseumawe;2018;September;-0.85;Persen
11;Aceh;1174;Lhokseumawe;2018;Oktober;0.50;Persen
11;Aceh;1174;Lhokseumawe;2018;November;0.29;Persen
11;Aceh;1174;Lhokseumawe;2018;Desember;01.05;Persen
11;Aceh;1107;Meulaboh;2018;Januari;-0.14;Persen
11;Aceh;1107;Meulaboh;2018;Februari;-0.25;Persen
11;Aceh;1107;Meulaboh;2018;Maret;0.21;Persen
11;Aceh;1107;Meulaboh;2018;April;-0.52;Persen
11;Aceh;1107;Meulaboh;2018;Mei;0.57;Persen
11;Aceh;1107;Meulaboh;2018;Juni;0.20;Persen
11;Aceh;1107;Meulaboh;2018;Juli;0.71;Persen
11;Aceh;1107;Meulaboh;2018;Agustus;0.23;Persen
11;Aceh;1107;Meulaboh;2018;September;-0.41;Persen
11;Aceh;1107;Meulaboh;2018;Oktober;-0.17;Persen
11;Aceh;1107;Meulaboh;2018;November;0.08;Persen
11;Aceh;1107;Meulaboh;2018;Desember;0.48;Persen
11;Aceh;1171;Banda Aceh;2019;Januari;0,43;Persen
11;Aceh;1171;Banda Aceh;2019;Februari;-0,54;Persen
11;Aceh;1171;Banda Aceh;2019;Maret;-0,44;Persen
11;Aceh;1171;Banda Aceh;2019;April;0,36;Persen
11;Aceh;1171;Banda Aceh;2019;Mei;1,48;Persen
11;Aceh;1171;Banda Aceh;2019;Juni;0,38;Persen
11;Aceh;1171;Banda Aceh;2019;Juli;-0,24;Persen
11;Aceh;1171;Banda Aceh;2019;Agustus;0,07;Persen
11;Aceh;1171;Banda Aceh;2019;September;-0,55;Persen
11;Aceh;1171;Banda Aceh;2019;Oktober;0,07;Persen
11;Aceh;1171;Banda Aceh;2019;November;-0,1;Persen
11;Aceh;1171;Banda Aceh;2019;Desember;0,46;Persen
11;Aceh;1174;Lhokseumawe;2019;Januari;0,14;Persen
11;Aceh;1174;Lhokseumawe;2019;Februari;-0,68;Persen
11;Aceh;1174;Lhokseumawe;2019;Maret;-0,45;Persen
11;Aceh;1174;Lhokseumawe;2019;April;0,64;Persen
11;Aceh;1174;Lhokseumawe;2019;Mei;0,86;Persen
11;Aceh;1174;Lhokseumawe;2019;Juni;0,3;Persen
11;Aceh;1174;Lhokseumawe;2019;Juli;0,22;Persen
11;Aceh;1174;Lhokseumawe;2019;Agustus;-0,54;Persen
11;Aceh;1174;Lhokseumawe;2019;September;-0,42;Persen
11;Aceh;1174;Lhokseumawe;2019;Oktober;0,53;Persen
11;Aceh;1174;Lhokseumawe;2019;November;-0,21;Persen
11;Aceh;1174;Lhokseumawe;2019;Desember;0,6;Persen
11;Aceh;1107;Meulaboh;2019;Januari;0,91;Persen
11;Aceh;1107;Meulaboh;2019;Februari;-0,71;Persen
11;Aceh;1107;Meulaboh;2019;Maret;0,39;Persen
11;Aceh;1107;Meulaboh;2019;April;0,18;Persen
11;Aceh;1107;Meulaboh;2019;Mei;1,33;Persen
11;Aceh;1107;Meulaboh;2019;Juni;1,3;Persen
11;Aceh;1107;Meulaboh;2019;Juli;0,21;Persen
11;Aceh;1107;Meulaboh;2019;Agustus;0,2;Persen
11;Aceh;1107;Meulaboh;2019;September;0,91;Persen
11;Aceh;1107;Meulaboh;2019;Oktober;0,18;Persen
11;Aceh;1107;Meulaboh;2019;November;-0,15;Persen
11;Aceh;1107;Meulaboh;2019;Desember;-0,19;Persen
11;Aceh;1171;Banda Aceh;2020;Januari;0,77;Persen
11;Aceh;1171;Banda Aceh;2020;Februari;0,54;Persen
11;Aceh;1171;Banda Aceh;2020;Maret;0,61;Persen
11;Aceh;1171;Banda Aceh;2020;April;-0,08;Persen
11;Aceh;1171;Banda Aceh;2020;Mei;0,31;Persen
11;Aceh;1171;Banda Aceh;2020;Juni;-0,18;Persen
11;Aceh;1171;Banda Aceh;2020;Juli;-0,34;Persen
11;Aceh;1171;Banda Aceh;2020;Agustus;0,44;Persen
11;Aceh;1171;Banda Aceh;2020;September;-0,32;Persen
11;Aceh;1171;Banda Aceh;2020;Oktober;0,62;Persen
11;Aceh;1171;Banda Aceh;2020;November;0,19;Persen
11;Aceh;1171;Banda Aceh;2020;Desember;0,85;Persen
11;Aceh;1174;Lhokseumawe;2020;Januari;0,08;Persen
11;Aceh;1174;Lhokseumawe;2020;Februari;0,49;Persen
11;Aceh;1174;Lhokseumawe;2020;Maret;0,64;Persen
11;Aceh;1174;Lhokseumawe;2020;April;-0,29;Persen
11;Aceh;1174;Lhokseumawe;2020;Mei;0,05;Persen
11;Aceh;1174;Lhokseumawe;2020;Juni;-0,07;Persen
11;Aceh;1174;Lhokseumawe;2020;Juli;-0,35;Persen
11;Aceh;1174;Lhokseumawe;2020;Agustus;0,3;Persen
11;Aceh;1174;Lhokseumawe;2020;September;0,24;Persen
11;Aceh;1174;Lhokseumawe;2020;Oktober;0,86;Persen
11;Aceh;1174;Lhokseumawe;2020;November;0,3;Persen
11;Aceh;1174;Lhokseumawe;2020;Desember;1,27;Persen
11;Aceh;1107;Meulaboh;2020;Januari;1,44;Persen
11;Aceh;1107;Meulaboh;2020;Februari;-0,1;Persen
11;Aceh;1107;Meulaboh;2020;Maret;0,52;Persen
11;Aceh;1107;Meulaboh;2020;April;-0,22;Persen
11;Aceh;1107;Meulaboh;2020;Mei;0,45;Persen
11;Aceh;1107;Meulaboh;2020;Juni;-0,19;Persen
11;Aceh;1107;Meulaboh;2020;Juli;-0,09;Persen
11;Aceh;1107;Meulaboh;2020;Agustus;0,88;Persen
11;Aceh;1107;Meulaboh;2020;September;0,15;Persen
11;Aceh;1107;Meulaboh;2020;Oktober;0;Persen
11;Aceh;1107;Meulaboh;2020;November;-0,11;Persen
11;Aceh;1107;Meulaboh;2020;Desember;1,02;Persen
11;Aceh;1171;Banda Aceh;2021;Januari;0,77;Persen
11;Aceh;1171;Banda Aceh;2021;Februari;-0,56;Persen
11;Aceh;1171;Banda Aceh;2021;Maret;-0,45;Persen
11;Aceh;1171;Banda Aceh;2021;April;0,53;Persen
11;Aceh;1171;Banda Aceh;2021;Mei;0,17;Persen
11;Aceh;1171;Banda Aceh;2021;Juni;-0,05;Persen
11;Aceh;1171;Banda Aceh;2021;Juli;-0,14;Persen
11;Aceh;1171;Banda Aceh;2021;Agustus;0,26;Persen
11;Aceh;1171;Banda Aceh;2021;September;-0,13;Persen
11;Aceh;1171;Banda Aceh;2021;Oktober;0,38;Persen
11;Aceh;1171;Banda Aceh;2021;November;0,87;Persen
11;Aceh;1171;Banda Aceh;2021;Desember;0,74;Persen
11;Aceh;1174;Lhokseumawe;2021;Januari;0,8;Persen
11;Aceh;1174;Lhokseumawe;2021;Februari;-0,7;Persen
11;Aceh;1174;Lhokseumawe;2021;Maret;-0,09;Persen
11;Aceh;1174;Lhokseumawe;2021;April;0,42;Persen
11;Aceh;1174;Lhokseumawe;2021;Mei;0,19;Persen
11;Aceh;1174;Lhokseumawe;2021;Juni;-0,07;Persen
11;Aceh;1174;Lhokseumawe;2021;Juli;-0,07;Persen
11;Aceh;1174;Lhokseumawe;2021;Agustus;-0,21;Persen
11;Aceh;1174;Lhokseumawe;2021;September;-0,16;Persen
11;Aceh;1174;Lhokseumawe;2021;Oktober;0,45;Persen
11;Aceh;1174;Lhokseumawe;2021;November;0,82;Persen
11;Aceh;1174;Lhokseumawe;2021;Desember;0,59;Persen
11;Aceh;1107;Meulaboh;2021;Januari;0,83;Persen
11;Aceh;1107;Meulaboh;2021;Februari;-0,95;Persen
11;Aceh;1107;Meulaboh;2021;Maret;-0,57;Persen
11;Aceh;1107;Meulaboh;2021;April;0,54;Persen
11;Aceh;1107;Meulaboh;2021;Mei;0,79;Persen
11;Aceh;1107;Meulaboh;2021;Juni;-0,06;Persen
11;Aceh;1107;Meulaboh;2021;Juli;0,2;Persen
11;Aceh;1107;Meulaboh;2021;Agustus;-0,03;Persen
11;Aceh;1107;Meulaboh;2021;September;-0,59;Persen
11;Aceh;1107;Meulaboh;2021;Oktober;0,62;Persen
11;Aceh;1107;Meulaboh;2021;November;0,48;Persen
11;Aceh;1107;Meulaboh;2021;Desember;0,81;Persen
11;Aceh;1171;Banda Aceh;2022;Januari;1,01;Persen
11;Aceh;1171;Banda Aceh;2022;Februari;-0,34;Persen
11;Aceh;1171;Banda Aceh;2022;Maret;0,59;Persen
11;Aceh;1171;Banda Aceh;2022;April;1,23;Persen
11;Aceh;1171;Banda Aceh;2022;Mei;0,92;Persen
11;Aceh;1171;Banda Aceh;2022;Juni;0,76;Persen
11;Aceh;1171;Banda Aceh;2022;Juli;0,98;Persen
11;Aceh;1171;Banda Aceh;2022;Agustus;-0,32;Persen
11;Aceh;1171;Banda Aceh;2022;September;0,78;Persen
11;Aceh;1171;Banda Aceh;2022;Oktober;-0,49;Persen
11;Aceh;1171;Banda Aceh;2022;November;0,11;Persen
11;Aceh;1171;Banda Aceh;2022;Desember;0,64;Persen
11;Aceh;1174;Lhokseumawe;2022;Januari;1,12;Persen
11;Aceh;1174;Lhokseumawe;2022;Februari;-0,99;Persen
11;Aceh;1174;Lhokseumawe;2022;Maret;0,85;Persen
11;Aceh;1174;Lhokseumawe;2022;April;1,25;Persen
11;Aceh;1174;Lhokseumawe;2022;Mei;1,03;Persen
11;Aceh;1174;Lhokseumawe;2022;Juni;0,45;Persen
11;Aceh;1174;Lhokseumawe;2022;Juli;0,47;Persen
11;Aceh;1174;Lhokseumawe;2022;Agustus;-0,98;Persen
11;Aceh;1174;Lhokseumawe;2022;September;0,9;Persen
11;Aceh;1174;Lhokseumawe;2022;Oktober;0,04;Persen
11;Aceh;1174;Lhokseumawe;2022;November;-0,36;Persen
11;Aceh;1174;Lhokseumawe;2022;Desember;1,51;Persen
11;Aceh;1107;Meulaboh;2022;Januari;0,95;Persen
11;Aceh;1107;Meulaboh;2022;Februari;-0,87;Persen
11;Aceh;1107;Meulaboh;2022;Maret;0,69;Persen
11;Aceh;1107;Meulaboh;2022;April;1,22;Persen
11;Aceh;1107;Meulaboh;2022;Mei;1,26;Persen
11;Aceh;1107;Meulaboh;2022;Juni;1,33;Persen
11;Aceh;1107;Meulaboh;2022;Juli;1,12;Persen
11;Aceh;1107;Meulaboh;2022;Agustus;-0,33;Persen
11;Aceh;1107;Meulaboh;2022;September;0,49;Persen
11;Aceh;1107;Meulaboh;2022;Oktober;0,19;Persen
11;Aceh;1107;Meulaboh;2022;November;-0,62;Persen
11;Aceh;1107;Meulaboh;2022;Desember;0,98;Persen
11;Aceh;1171;Banda Aceh;2023;Januari;0,61;Persen
11;Aceh;1171;Banda Aceh;2023;Februari;0,57;Persen
11;Aceh;1171;Banda Aceh;2023;Maret;-0,57;Persen
11;Aceh;1171;Banda Aceh;2023;April;0,18;Persen
11;Aceh;1171;Banda Aceh;2023;Mei;0,13;Persen
11;Aceh;1171;Banda Aceh;2023;Juni;0,06;Persen
11;Aceh;1171;Banda Aceh;2023;Juli;0,3;Persen
11;Aceh;1171;Banda Aceh;2023;Agustus;-0,27;Persen
11;Aceh;1171;Banda Aceh;2023;September;0,14;Persen
11;Aceh;1171;Banda Aceh;2023;Oktober;-0,25;Persen
11;Aceh;1171;Banda Aceh;2023;November;0,38;Persen
11;Aceh;1171;Banda Aceh;2023;Desember;0,25;Persen
11;Aceh;1174;Lhokseumawe;2023;Januari;0,75;Persen
11;Aceh;1174;Lhokseumawe;2023;Februari;0,51;Persen
11;Aceh;1174;Lhokseumawe;2023;Maret;-0,31;Persen
11;Aceh;1174;Lhokseumawe;2023;April;-0,42;Persen
11;Aceh;1174;Lhokseumawe;2023;Mei;0,51;Persen
11;Aceh;1174;Lhokseumawe;2023;Juni;0,07;Persen
11;Aceh;1174;Lhokseumawe;2023;Juli;-0,04;Persen
11;Aceh;1174;Lhokseumawe;2023;Agustus;0,03;Persen
11;Aceh;1174;Lhokseumawe;2023;September;0,27;Persen
11;Aceh;1174;Lhokseumawe;2023;Oktober;-0,11;Persen
11;Aceh;1174;Lhokseumawe;2023;November;0,19;Persen
11;Aceh;1174;Lhokseumawe;2023;Desember;0,12;Persen
11;Aceh;1107;Meulaboh;2023;Januari;0,76;Persen
11;Aceh;1107;Meulaboh;2023;Februari;0,39;Persen
11;Aceh;1107;Meulaboh;2023;Maret;-0,66;Persen
11;Aceh;1107;Meulaboh;2023;April;-0,7;Persen
11;Aceh;1107;Meulaboh;2023;Mei;0,58;Persen
11;Aceh;1107;Meulaboh;2023;Juni;0,47;Persen
11;Aceh;1107;Meulaboh;2023;Juli;0,22;Persen
11;Aceh;1107;Meulaboh;2023;Agustus;0,06;Persen
11;Aceh;1107;Meulaboh;2023;September;0,45;Persen
11;Aceh;1107;Meulaboh;2023;Oktober;0,3;Persen
11;Aceh;1107;Meulaboh;2023;November;0,22;Persen
11;Aceh;1107;Meulaboh;2023;Desember;-0,67;Persen
